Vin_A,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0,46.31943036830701,0.9412076077468838,2.4455885452125657e-08,2.299907837816333e-07,6.934984949881139e-10,6.402666832724926e-10,6.5028307986518e-10,4.0371640611024305e-10,7.413205300034377e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967454e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18,6.047835177252774e-08
1,46.31943036830701,0.9412076077468838,2.4455885452125657e-08,2.299907837816333e-07,6.934984949881139e-10,6.402666832724926e-10,6.5028307986518e-10,4.0371640611024305e-10,7.413205300034377e-09,1.231191123478698e+19,6.319509196036809e-10,6.324261856967454e-10,6.647074748497221e-10,4.0043722995094135e-10,7.014268466469464e-09,4.308701319171959e+18,4.915882539698383e-07
0,14.319261619886774,0.9129506449592276,2.3602000701825085e-08,2.273309246111155e-07,6.478514109883806e-10,6.683070781145401e-10,6.200572480311666e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281413e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18,3.856550061016921e-08
1,14.319261619886774,0.9129506449592276,2.3602000701825085e-08,2.273309246111155e-07,6.478514109883806e-10,6.683070781145401e-10,6.200572480311666e-10,3.8633428044780135e-10,7.377951942371441e-09,1.1406552641858734e+19,6.702478230426301e-10,6.880535378281413e-10,6.791394988625617e-10,4.171137764026467e-10,7.436170143306252e-09,4.421656309318949e+18,3.703094915430176e-07
0,106.23708058989943,0.9465881342305956,2.4362400994778745e-08,2.55099572745505e-07,6.348741491833954e-10,6.867566949556811e-10,6.700813448968594e-10,3.740556734667761e-10,7.402613060888671e-09,1.1853727028610812e+19,6.90238063761587e-10,6.449542466821651e-10,6.349354244962512e-10,4.0728798723663606e-10,7.217789069085879e-09,4.735808508311899e+18,1.928227230989645e-07
1,106.23708058989943,0.9465881342305956,2.4362400994778745e-08,2.55099572745505e-07,6.348741491833954e-10,6.867566949556811e-10,6.700813448968594e-10,3.740556734667761e-10,7.402613060888671e-09,1.1853727028610812e+19,6.90238063761587e-10,6.449542466821651e-10,6.349354244962512e-10,4.0728798723663606e-10,7.217789069085879e-09,4.735808508311899e+18,9.889274088122826e-07
0,78.64052841711373,0.9235846688820735,2.3727948406991e-08,2.507507841806735e-07,6.49845768787805e-10,6.315903507492571e-10,6.384048433650152e-10,4.0853070056910124e-10,6.807639249491543e-09,1.2406860392856295e+19,6.892516531977825e-10,6.648426355138678e-10,6.39989699834295e-10,3.9971836303227975e-10,7.096252679146859e-09,4.361289370323797e+18,1.237325934083553e-07
1,78.64052841711373,0.9235846688820735,2.3727948406991e-08,2.507507841806735e-07,6.49845768787805e-10,6.315903507492571e-10,6.384048433650152e-10,4.0853070056910124e-10,6.807639249491543e-09,1.2406860392856295e+19,6.892516531977825e-10,6.648426355138678e-10,6.39989699834295e-10,3.9971836303227975e-10,7.096252679146859e-09,4.361289370323797e+18,7.168037201361522e-07
0,97.16663016566308,0.9079374203753316,2.594995720757832e-08,2.1972398491105777e-07,6.43565682710424e-10,6.49704100911705e-10,6.785425334935791e-10,4.074295157332118e-10,7.1978851359863825e-09,1.281440791279379e+19,6.471337682822305e-10,6.6088916084459e-10,6.53798039991951e-10,3.9219113589767006e-10,7.176330079946861e-09,4.524781860167565e+18,8.453311880025633e-08
1,97.16663016566308,0.9079374203753316,2.594995720757832e-08,2.1972398491105777e-07,6.43565682710424e-10,6.49704100911705e-10,6.785425334935791e-10,4.074295157332118e-10,7.1978851359863825e-09,1.281440791279379e+19,6.471337682822305e-10,6.6088916084459e-10,6.53798039991951e-10,3.9219113589767006e-10,7.176330079946861e-09,4.524781860167565e+18,5.380602794696357e-07
