Unnamed: 0,lmin,wmin,temp,supply,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p
0,24.45588545,229.9907838,46.31943037,0.941207608,6.93E-10,6.40E-10,6.50E-10,4.04E-10,7.41E-09,1.23E+19,6.32E-10,6.32E-10,6.65E-10,4.00E-10,7.01E-09,4.31E+18
1,23.6020007,227.3309246,14.31926162,0.912950645,6.48E-10,6.68E-10,6.20E-10,3.86E-10,7.38E-09,1.14E+19,6.70E-10,6.88E-10,6.79E-10,4.17E-10,7.44E-09,4.42E+18
2,24.36240099,255.0995727,106.2370806,0.946588134,6.35E-10,6.87E-10,6.70E-10,3.74E-10,7.40E-09,1.19E+19,6.90E-10,6.45E-10,6.35E-10,4.07E-10,7.22E-09,4.74E+18
3,23.72794841,250.7507842,78.64052842,0.923584669,6.50E-10,6.32E-10,6.38E-10,4.09E-10,6.81E-09,1.24E+19,6.89E-10,6.65E-10,6.40E-10,4.00E-10,7.10E-09,4.36E+18
4,25.94995721,219.7239849,97.16663017,0.90793742,6.44E-10,6.50E-10,6.79E-10,4.07E-10,7.20E-09,1.28E+19,6.47E-10,6.61E-10,6.54E-10,3.92E-10,7.18E-09,4.52E+18
5,24.83097976,243.1734854,89.82506769,0.827156948,6.70E-10,6.47E-10,6.44E-10,3.93E-10,7.60E-09,1.22E+19,6.47E-10,6.63E-10,7.06E-10,3.99E-10,7.33E-09,4.37E+18
6,22.85655231,228.1309972,-31.23842734,0.974195418,6.64E-10,6.43E-10,6.62E-10,3.96E-10,7.51E-09,1.23E+19,7.14E-10,6.55E-10,6.77E-10,4.01E-10,6.98E-09,4.34E+18
7,23.08305643,237.3614964,67.68344178,0.957314602,6.25E-10,6.83E-10,6.29E-10,3.91E-10,7.22E-09,1.22E+19,6.33E-10,6.68E-10,6.89E-10,4.42E-10,7.06E-09,4.41E+18
8,22.80631996,226.7594957,-13.67771644,0.943190681,6.89E-10,6.24E-10,6.49E-10,4.06E-10,7.26E-09,1.23E+19,6.71E-10,6.44E-10,6.52E-10,3.71E-10,7.28E-09,4.49E+18
9,22.1094816,222.6440405,90.54433538,0.948832641,6.90E-10,6.48E-10,6.62E-10,4.08E-10,7.04E-09,1.23E+19,7.39E-10,6.72E-10,6.73E-10,4.05E-10,7.48E-09,4.52E+18
10,24.26362484,226.62003,-46.20361261,0.87650786,6.70E-10,6.51E-10,6.70E-10,3.83E-10,7.74E-09,1.23E+19,6.65E-10,6.41E-10,6.76E-10,3.83E-10,7.12E-09,4.22E+18
11,22.47534934,236.0441984,57.58646204,0.944847826,6.28E-10,6.90E-10,5.98E-10,4.04E-10,6.71E-09,1.21E+19,6.76E-10,6.80E-10,6.83E-10,3.72E-10,6.88E-09,4.11E+18
12,24.7646268,232.5066699,-26.67499159,0.885328437,6.66E-10,6.34E-10,6.82E-10,4.16E-10,7.16E-09,1.30E+19,6.80E-10,6.53E-10,6.96E-10,4.04E-10,7.26E-09,4.28E+18
13,23.70841814,234.5637846,49.78119943,0.827618009,6.66E-10,6.82E-10,6.48E-10,4.06E-10,7.81E-09,1.19E+19,6.64E-10,6.45E-10,6.56E-10,4.22E-10,7.20E-09,4.56E+18
14,24.65039658,236.0141897,-7.773981906,0.970803869,6.63E-10,6.73E-10,6.42E-10,3.85E-10,7.10E-09,1.18E+19,6.93E-10,6.56E-10,6.96E-10,4.09E-10,7.15E-09,4.37E+18
15,23.96145689,221.4094599,5.790958553,0.872007817,6.55E-10,6.53E-10,5.91E-10,3.72E-10,6.82E-09,1.23E+19,6.92E-10,7.12E-10,6.55E-10,4.12E-10,7.07E-09,4.78E+18
16,24.60565549,234.5883775,49.69925355,0.940433264,6.34E-10,6.56E-10,6.45E-10,4.10E-10,6.88E-09,1.19E+19,7.08E-10,6.65E-10,6.28E-10,4.10E-10,7.20E-09,4.67E+18
17,24.49659378,214.755955,-28.57262903,0.909585381,6.25E-10,7.09E-10,6.53E-10,4.07E-10,7.27E-09,1.25E+19,7.07E-10,6.17E-10,7.04E-10,3.81E-10,7.34E-09,4.48E+18
18,26.42938753,224.168119,19.49995041,0.956435431,6.43E-10,6.44E-10,6.60E-10,3.89E-10,7.26E-09,1.26E+19,6.72E-10,7.01E-10,6.97E-10,3.95E-10,7.07E-09,4.40E+18
19,24.05236274,238.5337697,70.00783289,0.866414252,6.63E-10,6.46E-10,6.01E-10,3.98E-10,6.80E-09,1.19E+19,6.40E-10,6.46E-10,6.51E-10,4.07E-10,7.29E-09,4.56E+18
20,23.88388328,240.2508644,-44.23988749,0.885347571,6.59E-10,6.58E-10,6.58E-10,3.82E-10,7.58E-09,1.22E+19,6.86E-10,6.79E-10,6.70E-10,3.86E-10,7.44E-09,4.32E+18
21,23.45685119,250.0175356,36.58362689,0.972497087,6.59E-10,6.23E-10,6.37E-10,4.00E-10,7.10E-09,1.23E+19,6.70E-10,7.03E-10,7.36E-10,4.12E-10,7.08E-09,4.17E+18
22,24.0597042,241.2279503,-3.336795658,0.901564709,6.30E-10,6.55E-10,6.38E-10,3.98E-10,6.40E-09,1.21E+19,6.57E-10,6.75E-10,6.90E-10,4.14E-10,7.96E-09,4.42E+18
